title,link,location,description
Angel Tree Coordinator (1742),https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=23326&clientkey=32845297BC28AB21BFFD7C682F3E1551,"FLA-Miami Area Command - Miami, FL, 33142","Schedule/Hours: M – F 8:30 a.m. – 4:30 p.m. (35 hours per week)



This position is responsible for:

Manages the Angel Tree Program..."
Kitchen Supervisor (1516),https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=19518&clientkey=32845297BC28AB21BFFD7C682F3E1551,"Full Time Regular | ARC-MIAMI ARC  - Miami, FL, 33127","Supervises day-to-day operations of the kitchen by instructing and participating in the preparation, cooking, and presentation of nutritional meals an..."
Grant Writer (1439),https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=18649&clientkey=32845297BC28AB21BFFD7C682F3E1551,"FLA-Miami Area Command - Miami, FL, 33142","Schedule/Hours: M – F 8:30 a.m. – 4:30 p.m. (35 hours per week)

 

This position is responsible for:

Assists in the procuring..."
Human Resources Generalist (1438),https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=18642&clientkey=32845297BC28AB21BFFD7C682F3E1551,"FLA-Miami Area Command - Miami, FL, 33142","Schedule/Hours: M – F 8:30 a.m. – 4:30 p.m. (35 hours per week)

 

This position is responsible for:

Plans, administers, coor..."
Maintenance (1379),https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=17801&clientkey=32845297BC28AB21BFFD7C682F3E1551,"Full Time Regular | ARC-MIAMI ARC  - Miami, FL, 33127",Participates in the maintenance of center facilities performing preventative maintenance to reduce future problems. General knowledge and the ability ...
Executive Administrative Assistant (1363),https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=17469&clientkey=32845297BC28AB21BFFD7C682F3E1551,"FLA-Miami Area Command - Miami, FL, 33142","Schedule/Hours: M – F 8:30 a.m. – 4:30 p.m. (35 hours per week)

 

This position is responsible for:

Under the general direct..."
Sorting Room Supervisor (1349),https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=17220&clientkey=32845297BC28AB21BFFD7C682F3E1551,"Full Time Regular | ARC-MIAMI ARC STORES - Miami, FL, 33127","Supervises and participates in the receiving, sorting, pricing, packing, and distributing of merchandise ensuring all items are processed in an effici..."
Counselor (1271),https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=17213&clientkey=32845297BC28AB21BFFD7C682F3E1551,"Part Time less than 20 | ARC-MIAMI ARC  - Miami, FL, 33127",Manages and monitors assigned caseload of Beneficiaries participating in a rehabilitation program; develops program plan/goals and evaluates beneficia...
Administrative Assistant (1230),https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=15054&clientkey=32845297BC28AB21BFFD7C682F3E1551,"FLA-Miami Area Command - Miami, FL, 33142","Schedule/Hours: M – F 8:30 a.m. – 4:30 p.m. (35 hours per week)

 

This position is responsible for:

Relieves a department he..."
Cook (1111),https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=12947&clientkey=32845297BC28AB21BFFD7C682F3E1551,"Full Time Regular | FLA-Miami Area Command - Miami, FL, 33142","Schedule/Hours: M – F 8:30 a.m. – 4:30 p.m. (40 hours per week)

 

This position is responsible for: 

Plans, p..."
