title,link,salary,location
C# Developer with Strong SQL Skills,https://www.sherlocktalent.com/job/7355-c-developer-with-strong-sql-skills/,$95000,Florida
"Contract PowerBI Developer, onsite West Palm Beach",https://www.sherlocktalent.com/job/7354-contract-powerbi-developer-onsite-west-palm-beach/,Depends on Experience,West Palm Beach
Business Analyst (Power BI / Azure Fabric / Databricks),https://www.sherlocktalent.com/job/7352-business-analyst-power-bi-azure-fabric-databricks/,$90000,Riviera Beach
Microsoft Dynamics 365 CRM / JavaScript/TypeScript Developer with Dataverse,https://www.sherlocktalent.com/job/7351-microsoft-dynamics-365-crm-javascript-typescript-developer-with-dataverse/,Depends on Experience,West Palm Beach
Senior DevOps Engineer (AWS) — ML Pipelines & FinOps,https://www.sherlocktalent.com/job/7349-senior-devops-engineer-aws-ml-pipelines-finops/,Depends on Experience,Miami
Senior DevOps Engineer (Multi-Cloud) — AI Platform & FinOps,https://www.sherlocktalent.com/job/7350-senior-devops-engineer-multi-cloud-ai-platform-finops/,Depends on Experience,miami
"Senior Network Comms Engineer, Cisco, Satellite, Int’l VPNs",https://www.sherlocktalent.com/job/7348-senior-network-comms-engineer-cisco-satellite-intl-vpns/,$130000,West Palm Beach
SQL Developer,https://www.sherlocktalent.com/job/7346-sql-developer/,Depends on Experience,Fort Lauderdale
Celigo Integration Engineer– BigCommerce & NetSuite,https://www.sherlocktalent.com/job/7345-celigo-integration-engineer-bigcommerce-netsuite/,Depends on Experience,Houston
Cisco Network Communications Engineer,https://www.sherlocktalent.com/job/7342-cisco-network-communications-engineer/,Depends on Experience,West Palm Beach
Generative AI & Creative Specialist for Next-Gen Marketing & Design,https://www.sherlocktalent.com/job/7339-generative-ai-creative-specialist-for-next-gen-marketing-design/,$140000,miami
AI Architect & Machine Learning Developer,https://www.sherlocktalent.com/job/7337-ai-architect-machine-learning-developer/,$180000,Miami
Power BI Data Analyst,https://www.sherlocktalent.com/job/7336-power-bi-data-analyst/,$90000,West Palm Beach
Machine Learning Engineer for Cloud Native AI SAAS,https://www.sherlocktalent.com/job/7335-machine-learning-engineer-for-cloud-native-ai-saas/,$200000,Bay Area
Golang Python for AI Full-Stack Platform Engineer for Cloud Native AI SAAS,https://www.sherlocktalent.com/job/7334-golang-python-for-ai-full-stack-platform-engineer-for-cloud-native-ai-saas/,$200000,Bay Area
API Engineer for Cloud Native AI SAAS,https://www.sherlocktalent.com/job/7333-api-engineer-for-cloud-native-ai-saas/,$200000,Bay Area
SRE & Data Engineer for Cloud Native AI SAAS,https://www.sherlocktalent.com/job/7332-sre-data-engineer-for-cloud-native-ai-saas/,$200000,Bay Area
SQL / AI / Business Analyst – Logistics/Automated Warehousing,https://www.sherlocktalent.com/job/7331-sql-ai-business-analyst-logistics-automated-warehousing/,$90000,West Palm Beach
Scrum Master,https://www.sherlocktalent.com/job/7329-scrum-master/,Depends on Experience,Nashville
UX/UI Front End Designer-Jr Level,https://www.sherlocktalent.com/job/7328-ux-ui-front-end-designer-jr-level/,Depends on Experience,Nashville
UX/UI Front End Designer-Mid Level,https://www.sherlocktalent.com/job/7327-ux-ui-front-end-designer-mid-level/,Depends on Experience,Nashville
UX/UI Front End Designer-Senior Level/Team Lead,https://www.sherlocktalent.com/job/7326-ux-ui-front-end-designer-senior-level-team-lead/,Depends on Experience,Nashville
Java Developer Mid – Senior Level (Contract),https://www.sherlocktalent.com/job/7325-java-developer-mid-senior-level-contract/,Depends on Experience,
"Linux On-Prem SOC Engineer, WAF, PCI, Forensics, OWASP Cyber Security",https://www.sherlocktalent.com/job/7324-linux-on-prem-soc-engineer-waf-pci-forensics-owasp-cyber-security/,Depends on Experience,Coral Springs
SAP Project Manager – SAP S4 Transformation,https://www.sherlocktalent.com/job/7323-sap-project-manager-sap-s4-transformation/,Depends on Experience,REMOTE
SAP Program Director – SAP S4 Transformation,https://www.sherlocktalent.com/job/7322-sap-program-director-sap-s4-transformation/,Depends on Experience,REMOTE
Executive Assistant,https://www.sherlocktalent.com/job/7321-executive-assistant/,Depends on Experience,North Miami
