Training Center,Contact Info,Website,Training Director
Alaska AJEATT,"; 5800 B. Street; 
        ; Anchorage, AK 99518; 
        ; Phone: 907-337-9508; 
        ; Fax: 907-337-9500; 
    ; Website: ; http://alaskaelectricalapprenticeship.org;",http://alaskaelectricalapprenticeship.org,"; Melissa Caress; 
        ; melissa@ajeatt.org;"
Birmingham Electrical JATC,"; 5000 East Lake Blvd.; 
        ; Birmingham, AL 35217; 
        ; Phone: 205-849-5522; 
        ; Fax: 205-849-5521;",,"; Matthew Dudley; 
        ; matthew@bejatc.org;"
Mobile Electricians JATC,"; 2244 Halls Mill Road; 
        ; Mobile, AL 36606; 
        ; Phone: 251-478-4918; 
        ; Fax: 251-450-0957; 
    ; Website: ; http://www.mejatc.org;",http://www.mejatc.org,"; Randall C. Cromer; 
        ; randy@mobile-eta.com;"
Montgomery Electrical JATC,"; 1469 Jean Street; 
        ; Montgomery, AL 36107; 
        ; Phone: 334-272-8830; 
        ; Fax: 334-272-8831; 
    ; Website: ; https://ibew443.org/wireman-apprenticeship-1;",https://ibew443.org/wireman-apprenticeship-1,"; Herman Bayless; 
        ; herman@ibew443.org;"
North Alabama Electrical JATC,"; P.O. Box 141, 1805 E. 17th Street; 
        ; Sheffield, AL 35660; 
        ; Phone: 256-383-9507; 
        ; Fax: 256-383-9505; 
    ; Website: ; http://www.naljatc.org;",http://www.naljatc.org,"; Heath Robb; 
        ; heath.robb@naljatc.org;"
El Dorado Elec. JATC,"; 1067 Industrial Road; 
        ; El Dorado, AR 71730; 
        ; Phone: 870-312-4245; 
        ; Fax: null; 
    ; Website: ; http://www.eldoradojatc.com;",http://www.eldoradojatc.com,"; Voniece French; 
        ; eldoradojatc@suddenlinkmail.com;"
Fort Smith Elec. JATC,"; 2914 Midland Blvd.; 
        ; Ft. Smith, AR 72904; 
        ; Phone: 479-709-9604; 
        ; Fax: 479-474-8422;",,"; Casey R. Long; 
        ; casey_jatc@ibew700.com;"
Jonesboro Electrical JATC,"; P.O. Box 577; 
        ; Jonesboro, AR 72403; 
        ; Phone: 870-932-2114; 
        ; Fax: 870-932-6707;",,"; Lori McKenzie; 
        ; jatctd1516@gmail.com;"
Little Rock Elec. JATC,"; 7418 S. University Avenue; 
        ; Little Rock, AR 72209; 
        ; Phone: 501-565-0768; 
        ; Fax: 501-565-5911;",,"; Crystal Cormell; 
        ; lrjatc@lrjatc.com;"
Globe-Miami Electrical JATC,"; P.O. Box 108; 
        ; Globe, AZ 85502; 
        ; Phone: 928-200-5482; 
        ; Fax: 928-425-7233;",,"; null null; 
        ; null;"
Phoenix Electrical JATC,"; 1520 E. Indianola Avenue; 
        ; Phoenix, AZ 85014; 
        ; Phone: 602-263-8104; 
        ; Fax: 602-263-8722;",,"; Shawn Hutchinson; 
        ; shutchinson@pejatc.org;"
Tucson Electrical JATC,"; 1949 W. Gardner Lane; 
        ; Tucson, AZ 85708; 
        ; Phone: 520-790-4690; 
        ; Fax: 520-624-3955;",,"; Karen King; 
        ; kingk@tucsonjatc.org;"
Unisource Energy Services,"; 830 S. Acoma Blvd; 
        ; Lake Havasu, AZ 86406; 
        ; Phone: 928-505-7017; 
        ; Fax: null;",,"; Dustin Lockman; 
        ; dlockman@uesaz.com;"
Bermuda College,"; 21 Stonington Ave., South Rd.; 
        ; Paget, BM PG 04; 
        ; Phone: 441-236-9000; 
        ; Fax: null;",,"; Delroy Musson; 
        ; dmusson@college.bm;"
Kern County Electrical JATC,"; 3805 N. Sillect Avenue; 
        ; Bakersfield, CA 93308; 
        ; Phone: 661-324-0105; 
        ; Fax: 661-324-4121; 
    ; Website: ; http://www.kerncountyjatc.com;",http://www.kerncountyjatc.com,"; Anthony Ausbie; 
        ; anthony@428jatc.org;"
Tri County Electrical JATC,"; 10300 Merritt Street; 
        ; Castroville, CA 95012; 
        ; Phone: 831-633-3063; 
        ; Fax: 831-633-3068; 
    ; Website: ; http://www.tricountyjatc.org ;",http://www.tricountyjatc.org,"; null null; 
        ; info@tricountyjatc.org;"
"Fresno, Madera, Kings & Tulare Counties JATC","; 5420 E. Hedges Avenue; 
        ; Fresno, CA 93727; 
        ; Phone: 559-251-5174; 
        ; Fax: 559-251-0543; 
    ; Website: ; http://www.fresnojatc.org;",http://www.fresnojatc.org,"; William Torrence; 
        ; wtorrence@fresnojatc.org;"
Los Angeles County Electrical Training Institute,"; 6023 South Garfield Avenue; 
        ; Commerce, CA 90040; 
        ; Phone: 323-221-5881; 
        ; Fax: 323-721-6522; 
    ; Website: ; http://www.laett.com;",http://www.laett.com,"; David Nott; 
        ; director@laett.com;"
Central Valley Electrical JATC,"; 1925 Yosemite Blvd.; 
        ; Modesto, CA 95354; 
        ; Phone: 209-579-5417; 
        ; Fax: 209-521-0908;",,"; John Brown; 
        ; john@jatc684.org;"
Motion Picture Employers and IBEW No. 40,"; 5643 Vineland Avenue; 
        ; North Hollywood, CA 91601; 
        ; Phone: 818-762-4239; 
        ; Fax: 818-762-4379;",,"; Jesus (Jesse) Barron; 
        ; jesse@ibew40.org;"
Alameda County Electrical JATC,"; 14600 Catalina Street; 
        ; San Leandro, CA 94577; 
        ; Phone: 510-351-5282; 
        ; Fax: null; 
    ; Website: ; http://www.595jatc.org/;",http://www.595jatc.org/,"; Jason Bates; 
        ; jbates@595jatc.org;"
Contra Costa County Electrical JATC,"; 1255 Muir Road; 
        ; Martinez, CA 94553; 
        ; Phone: 925-372-7083; 
        ; Fax: 925-372-7948;",,"; Ray Green; 
        ; rayg@ibewlu302.com;"
Shasta-Butte Electrical JATC,"; 900 Locust Street, #7; 
        ; Redding, CA 96001; 
        ; Phone: 916-646-6688; 
        ; Fax: None;",,"; Chris Tillery; 
        ; ctillery@340jatc.org;"
Riverside Area Electrical JATC,"; 1855 Business Center Drive; 
        ; San Bernardino, CA 92408; 
        ; Phone: 909-890-1703; 
        ; Fax: 909-890-1746;",,"; Jonathan Rowe; 
        ; j.rowe@ieetc.org;"
Sacramento Area JATC,"; 2836 El Centro Road; 
        ; Sacramento, CA 95833; 
        ; Phone: 916-646-6688; 
        ; Fax: 916-646-0170;",,"; Chris Tillery; 
        ; ctillery@340jatc.org;"
"San Bernardino, Mono & Inyo Counties Elec.","; 1855 Business Center Drive; 
        ; San Bernardino, CA 92408; 
        ; Phone: 909-890-1703; 
        ; Fax: 909-890-1746;",,"; Jonathan Rowe; 
        ; j.rowe@ieetc.org;"
San Diego Electrical Training Trust,"; 4675 Viewridge Avenue, Suite D; 
        ; San Diego, CA 92123; 
        ; Phone: 858-569-6633; 
        ; Fax: 858-569-0624; 
    ; Website: ; http://www.etiedu.org;",http://www.etiedu.org,"; Kevin Johnson; 
        ; kjohnson@sdett.org;"
San Francisco Joint Electrical Training Trust,"; 4056 Mission Street; 
        ; San Francisco, CA 94112; 
        ; Phone: 415-587-2500; 
        ; Fax: 415-585-4117;",,"; Peter M. Chursin; 
        ; pchursin@sfjatc.com;"
Santa Clara JATC,"; 1873 Barber Lane; 
        ; Milpitas, CA 95035; 
        ; Phone: 408-453-1022; 
        ; Fax: 408-452-1784;",,"; Albert H. Lancaster III; 
        ; alancaster@etasv.org;"
San Luis Obispo County Elec. JATC,"; 6363 Edna Road; 
        ; San Luis Obispo, CA 93401; 
        ; Phone: 805-543-5693; 
        ; Fax: 805-544-3762;",,"; Jack Johnson; 
        ; jjohnson@ibew639.org;"
San Mateo County JATC,"; 625 Industrial Road; 
        ; San Carlos, CA 94070; 
        ; Phone: 650-591-5217; 
        ; Fax: 650-591-5219; 
    ; Website: ; http://smjatc617.org;",http://smjatc617.org,"; Kasitalea Abraham N. Talakai Jr.; 
        ; abe@smjatc617.org;"
Orange County Electrical Training Trust,"; 1261 E Dyer Road; 
        ; Santa Ana, CA 92705; 
        ; Phone: 714-245-9988; 
        ; Fax: 714-245-9984;",,"; Jerome W. Thomas; 
        ; jthomas@ocett.org;"
Santa Barbara County JATC,"; 222 West Carmen Lane, Suite 105; 
        ; Santa Maria, CA 93458; 
        ; Phone: 805-686-0903; 
        ; Fax: 805-686-0922;",,"; Gilbert Rea; 
        ; sharijbrunner@gmail.com;"
Redwood Empire JATC,"; 1726 Corby Avenue; 
        ; Santa Rosa, CA 95407; 
        ; Phone: 707-523-3837; 
        ; Fax: 707-523-3829;",,"; Rob Barsi; 
        ; robb@rejatc.org;"
San Joaquin & Calaveras Counties JATC,"; 1531 El Pinal Drive; 
        ; Stockton, CA 95205; 
        ; Phone: 209-462-0751; 
        ; Fax: 209-462-1451;",,"; Garrett Greer; 
        ; ggreer@595eastjatc.com;"
Solano/Napa Counties Electrical JATC,"; 720-A Technology Way; 
        ; Napa, CA 94558; 
        ; Phone: 707-251-0315; 
        ; Fax: 707-251-0316;",,"; Jack Paulson; 
        ; jatc@ibewlu180.org;"
Ventura County Electrical JATC,"; 241 Lombard St; 
        ; Oxnard, CA 93030; 
        ; Phone: 805-604-1145; 
        ; Fax: 805-604-1166; 
    ; Website: ; https://www.ibewlu952.org;",https://www.ibewlu952.org,"; Steve Earhart; 
        ; stevee@vcjatc.org;"
Northern California Sound & Communication JATC,"; 3033 Alvarado St.; 
        ; San Leandro, CA 94577; 
        ; Phone: 408-453-3101; 
        ; Fax: 408-453-5822;",,"; Terry Monroe; 
        ; terrym@norcal-jatc.com;"
California-Nevada Elec. AJATC,"; 9846 Limonite Avenue; 
        ; Riverside, CA 92509; 
        ; Phone: 951-685-8658; 
        ; Fax: 951-685-9473; 
    ; Website: ; http://www.calnevjatc.org ;",http://www.calnevjatc.org,"; Jimmy Skinner; 
        ; jskinner@calnevjatc.org;"
IBEW 213/NECA of B.C. Elec. Training Committee,"; Suite 100 – 1424 Broadway Street; 
        ; Port Coquitlam, BC V3C5W2; 
        ; Phone: 604-571-6540; 
        ; Fax: 604-571-6520;",,"; Phil Davis; 
        ; pdavis@ejtc.org;"
Ontario Communications Electricians TTF,"; 209-61 International Blvd.; 
        ; Rexdale, ON M9W6K4; 
        ; Phone: 416-674-6963; 
        ; Fax: 416-674-9541;",,"; Peter  Olders; 
        ; null;"
JAC Central Ontario,"; 5158 Fountain Street North; 
        ; Breslau, ON N0B1M0; 
        ; Phone: 519-648-3993; 
        ; Fax: 519-648-2992;",,"; Dave Graham; 
        ; trainingdirector@ibew804.ca;"
IBEW Local 502 Training Trust Fund,"; 26 Kiwanis Court; 
        ; Saint John, NB E2K4L2; 
        ; Phone: 506-635-8535; 
        ; Fax: 506-672-1185;",,"; Pat McGinnis; 
        ; null;"
Toronto Technical Education Committee,"; 1377 Lawrence Ave E; 
        ; Toronto, ON M3A 3P8; 
        ; Phone: 416-510-5276; 
        ; Fax: 416-510-3531;",,"; Suan Boorman; 
        ; susanb@ibew353.org;"
Essex & Kent JATC,"; 4050 North Service Road East; 
        ; Windsor, ON N8W5X2; 
        ; Phone: 519-948-2221; 
        ; Fax: 519-948-7670;",,"; Les Taffinder; 
        ; laurie@ibew773.ca;"
IBEW Local 586 Local Apprenticeship Committee,"; 1178 Rainbow Street; 
        ; Gloucester, Ottawa, ON K1J6X7; 
        ; Phone: 613-741-5665; 
        ; Fax: 613-741-4789;",,"; David  Cribb; 
        ; null;"
Electrical Industry Education Trust Fund,"; 4234 93 Street #201; 
        ; Edmonton, AB T6C2S1; 
        ; Phone: 780-462-5729; 
        ; Fax: 780-437-0248;",,"; Todd Chrunik; 
        ; todd@eitca.ca;"
Joint Apprenticeship Council,"; 28 Fulton Way; 
        ; Richmond Hill, ON L4B 1J5; 
        ; Phone: 905-882-6484; 
        ; Fax: 905-882-9757;",,"; Erik Hueglin; 
        ; ehueglin@electricalapprenticeship.ca;"
IBEW Local 625 JATC,"; 24 Lakeside Park Drive Suite 202; 
        ; Lakeside, NS B3T 1L1; 
        ; Phone: 902-450-5625; 
        ; Fax:  ;",,"; Blair Mikkelson; 
        ; jatc@ibewlocal625.ca;"
Colorado Springs Electrical JATC,"; 414 West Pikes Peak Avenue; 
        ; Colorado Springs, CO 80905; 
        ; Phone: 719-473-1781; 
        ; Fax: 719-471-8488; 
    ; Website: ; http://www.csejatc.org;",http://www.csejatc.org,"; John L. DeLuke Jr.; 
        ; john@csejatc.org;"
Denver Area Electrical JATC,"; 5610 N. Logan Street; 
        ; Denver, CO 80216; 
        ; Phone: 303-295-1903; 
        ; Fax: 303-296-8819; 
    ; Website: ; http://www.djeatc68.com;",http://www.djeatc68.com,"; Daniel Hendricks; 
        ; dhendricks@djeatc68.com;"
Western Colorado JATC,"; 786 Valley Ct; 
        ; Grand Junction, CO 81505; 
        ; Phone: 303-295-1903; 
        ; Fax: null; 
    ; Website: ; http://www.wcjatc.com;",http://www.wcjatc.com,"; Dan Hendricks; 
        ; dhendricks@djeatc68.com;"
Pueblo Electrical JATC,"; 2924 Graneros Lane; 
        ; Pueblo, CO 81005; 
        ; Phone: 719-561-8000; 
        ; Fax: 719-561-8899; 
    ; Website: ; http://www.pueblojatc.org;",http://www.pueblojatc.org,"; Daniel W. ""Dan"" Kraus; 
        ; dan@pueblojatc.org;"
L.U. 488 IBEW-NECA JATC,"; 721 Main Street; 
        ; Monroe, CT 06468; 
        ; Phone: 203-452-7679; 
        ; Fax: 203-459-2553;",,"; Thomas Sportini; 
        ; jatc488@yahoo.com;"
Hartford Electricians JATC,"; 208 Murphy Road; 
        ; Hartford, CT 06114; 
        ; Phone: 860-525-5982; 
        ; Fax: 860-278-4373; 
    ; Website: ; http://www.ibewlocal35.org;",http://www.ibewlocal35.org,"; Frank Puzzo; 
        ; fpuzzo@jatc35.org;"
NECA and Local 90 JATC,"; 2 North Plains Industrial Road; 
        ; Wallingford, CT 06492; 
        ; Phone: 203-265-3820; 
        ; Fax: 203-265-6875;",,"; Paul J.  Costello; 
        ; pcostello@jatc90.org;"
"L.U. 26, JATC","; 4371 Parliament Place, Suite A; 
        ; Lanham, MD 20706; 
        ; Phone: 301-429-2575; 
        ; Fax: 301-429-2561; 
    ; Website: ; http://www.washdcjatc.org;",http://www.washdcjatc.org,"; William E. Murphy; 
        ; bmurphy@jatc26.org;"
Delaware Electrical Apprenticeship,"; 814 W. Basin Road; 
        ; New Castle, DE 19720; 
        ; Phone: 302-322-5089; 
        ; Fax: 302-689-4449; 
    ; Website: ; http://www.ibew313.org;",http://www.ibew313.org,"; Joseph Zoladkiewicz; 
        ; jzoladkiewicz@jatc313.org;"
